"Organization Name","Category","Target Population","Contact Information"
"Big Brothers Big Sisters of Metro Milwaukee","Mentoring","Children facing adversity","788 N. Jefferson Street, Suite 600, Milwaukee, WI 53202
Phone: (414) 258-4778
Website:http://www.bbbsmilwaukee.org [http://www.bbbsmilwaukee.org]"
"Billy’s Posse Inc.","Animal Recovery","Pet owners","7007 Whitewater St., Racine, WI 53402
Phone: (262) 833-7480
Website:http://www.billysposse.com [http://www.billysposse.com]"
"BizStarts","Entrepreneurship","Entrepreneurs","1555 RiverCenter Drive, Suite 210, Milwaukee, WI 53212
Phone: (414) 973-2334
Website:http://www.bizstarts.com [http://www.bizstarts.com]"
"Bridge Builders","Neighborhood Revitalization","Inner-city residents","4642 N. 40th St., Milwaukee, WI 53209
Phone: (414) 217-3095
Website:https://bridgebuildersmke.org/ [https://bridgebuildersmke.org/]"
"Bridge to Brighter Inc.","Foster Care Support","Youth in foster care","P.O. Box 174, Elm Grove, WI 53122
Phone: (414) 852-5390
Website:https://bridgetobrighter.org/ [https://bridgetobrighter.org/]"
"Broadscope Disability Services","Disability Support","Individuals with disabilities","6102 W. Layton Ave., Greenfield, WI 53220
Phone: (414) 329-4500
Website:http://www.broadscope.org [http://www.broadscope.org]"
"Centers for Independence","Health Services","People of all abilities","2020 W. Wells Street, Milwaukee, WI 53233
Phone: (414) 937-2020
Website:http://www.mcfi.net [http://www.mcfi.net]"
"Centro Hispano Milwaukee","Cultural Advocacy","Latino community","614 W. National Avenue, Milwaukee, WI 53204
Phone: (414) 384-3700
Website:http://www.centrohispanomke.org [http://www.centrohispanomke.org]"
"City Year Milwaukee","Education Support","High-need schools","648 N. Plankinton Ave., Suite 190, Milwaukee, WI 53203
Phone: (414) 223-0150
Website:http://www.cityyear.org/milwaukee [http://www.cityyear.org/milwaukee]"
"CLUB KIDS IN DANGER SAVED INC.","Youth Empowerment","At-risk youth","2342 W. North Ave., Milwaukee, WI 53208
Phone: (414) 380-3853
Website:http://www.clubkids414.org [http://www.clubkids414.org]"
"Community Advocates","Basic Needs Support","Low-income residents","728 N. James Lovell St., Milwaukee, WI 53233
Phone: (414) 449-4777
Website:http://communityadvocates.net [http://communityadvocates.net]"
"Community Care, Inc.","Adult Services","At-risk adults","205 Bishops Way, Brookfield, WI 53005
Phone: (414) 231-1400
Website:http://www.communitycareinc.org [http://www.communitycareinc.org]"
"Community First","Affordable Housing","Low-income families","3942 W. Lisbon Ave., Milwaukee, WI 53208
Phone: (414) 377-4481
Website:https://cfmke.org/ [https://cfmke.org/]"
"Community Projects Committee, Inc.","Senior Support","Low-income seniors","3073 S. Chase Ave., Ste. 210, Milwaukee, WI 53207
Phone: (414) 444-6544
Website:https://www.cpforseniors.org [https://www.cpforseniors.org]"
"Community Smiles Dental","Dental Healthcare","Underserved communities","210 NW Barstow St, Ste. 305, Waukesha, WI 53188
Phone: (262) 522-7645
Website:https://www.communitysmiles.org/ [https://www.communitysmiles.org/]"
"Community Warehouse","Home Improvement","Low-income residents","521 S. 9th Street, Milwaukee, WI 53204
Phone: (414) 383-7792
Website:http://www.thecommunitywarehouse.org [http://www.thecommunitywarehouse.org]"
"Dominican Center for Women, Inc.","Neighborhood Development","Residents of Amani neighborhood","2470 W. Locust Street, Milwaukee, WI 53206
Phone: (414) 444-9930
Website:http://www.dominican-center.org [http://www.dominican-center.org]"
"Milwaukee Development Corporation (MDC)","Economic Development","Urban neighborhoods","Address: Milwaukee, WI
Website:https://www.mmac.org/milwaukee-development-corp.html [https://www.mmac.org/milwaukee-development-corp.html]"
"Northwest Side Community Development Corporation","Economic Development","Northwest Side residents","4201 N 27th St, Milwaukee, WI 53216
Phone: (414) 444-8200"
"Near West Side Partners","Community Development","Near West Side residents","624 N 24th St, Milwaukee, WI 53233
Phone: (414) 933-0640"
"Layton Boulevard West Neighbors","Housing Improvement","Layton Boulevard West residents","1545 S Layton Blvd, Milwaukee, WI 53215
Phone: (414) 383-9038"
"Clarke Square Neighborhood Initiative","Neighborhood Improvement","Clarke Square residents","1818 W National Ave, Milwaukee, WI 53204
Phone: (414) 647-0548"
"Havenwoods Economic Development Corporation","Business Development","Havenwoods area residents","6161 N 64th St, Milwaukee, WI 53218
Phone: (414) 431-2271"
"Southside Organizing Center","Community Organizing","South Side residents","1300 S Layton Blvd, Milwaukee, WI 53215
Phone: (414) 672-8090"
"Sherman Park Community Association","Neighborhood Revitalization","Sherman Park residents","3526 W Fond Du Lac Ave, Milwaukee, WI 53216
Phone: (414) 444-9803"
"Hmong American Friendship Association","Cultural Preservation","Hmong community","3824 W Vliet St, Milwaukee, WI 53208
Phone: (414) 344-6575"
"Sixteenth Street Community Health Centers","Healthcare Services","Underserved communities","1337 S Cesar E Chavez Dr, Milwaukee, WI 53204
Phone: (414) 672-1353"
